id_subrubro,id_rubro,descripcion,detalle,activo
0014,0005,ALIMENTOS,,S
0016,0005,FILTROS,,S
0017,0005,CALEFACTORES,,S
0018,0005,LIQUIDOS,,S
0019,0005,ADORNOS,,S
0008,0005,ACCESORIOS,,S
0021,0005,PECERAS,,S
0022,0005,PECES AGUA FRIA,,S
0023,0005,PECES AGUA CALIDA,,S
0007,0004,HAMSTER,,S
0009,0004,RUEDAS,,S
0010,0004,CASITAS,,S
0011,0004,JAULAS,,S
0012,0004,BEBEDEROS,,S
0055,0002,BANDEJAS SANITARIAS,,S
0056,0002,PIEDRAS SANITARIAS,,S
0059,0002,MUEBLES Y RASCADORES,,S
0060,0001,CUCHAS,,S
0061,0006,FRENOS,,S
0062,0006,DISCO DE GOMA,,S
0063,0006,CABEZADA Y RIENDA,,S
0064,0006,BOZAL,,S
0065,0006,ESTRIBO,,S
0066,0006,ESTRIBERA,,S
0067,0006,CINCHA,,S
0068,0006,MANTA,,S
0069,0006,SUDADERA,,S
0070,0006,ENCIMERA,,S
0071,0006,CORREONES,,S
0072,0006,MANDIL,,S
0028,0001,AHORQUES,,S
0029,0001,ARNES,,S
0030,0001,BOZALES,,S
0032,0001,CHIFLES,,S
0033,0001,COLCHONETAS,,S
0036,0001,CORREAS,,S
0037,0001,ENTRETENIMIENTO,,S
0038,0001,ESTETICA,,S
0039,0001,HIGIENE,,S
0040,0001,JOYAS,,S
0041,0001,MODA,,S
0042,0001,MOISES,,S
0043,0001,MORDILLOS,,S
0044,0001,ORTOPEDIA,,S
0045,0001,PELOTAS,,S
0046,0001,PELUCHES,,S
0047,0001,PELUQUERIA,,S
0048,0001,PRETALES,,S
0049,0001,SNACK,,S
0050,0001,TIRADORES,,S
0024,0003,VITAMINAS,,S
0054,0003,ACCESORIOS,,S
0073,0006,PEGUAL,,S
0074,0006,CARONA,,S
0075,0006,MANEAS,,S
0076,0006,PELLON,,S
0077,0006,BASTOS,,S
0078,0006,MONTURAS,,S
0079,0006,RASQUETA DE GOMA,,S
0080,0006,POLAINAS,,S
0081,0006,LAZOS,,S
0082,0006,YUGUILLOS,,S
0083,0006,PECHERA VAQUETA,,S
0084,0006,FUSTAS,,S
0085,0006,VENDAS,,S
0086,0006,ARTICULOS DE BRONCE,,S
0087,0006,ARTICULOS DE HIERRO,,S
0088,0006,ARTESANIA,,S
0089,0006,PELERO,,S
0090,0006,MATRA,,S
0092,0009,CAMISETAS,,S
0093,0009,ROLLOS,,S
0091,0009,BOLSA PARA PECES,,S
0095,0009,POLIPROPILENO,,S
0098,0004,COMEDERO,,S
0099,0003,ALIMENTOS,,S
0096,0004,ACCESORIO,,S
0097,0004,ALIMENTO,,S
0100,0007,PULGUICIDA,,S
0101,0007,INSECTICIDA,,S
0103,0007,CUCARACHICIDA,,S
0105,0008,TRAMPA,,S
0106,0008,RATICIDA,,S
0034,0001,COLLARES DE POLIPROPILENO,,S
0107,0001,COLLARES DE SUELA Y CUERO,,S
0108,0001,COLLARES EN BLISTER,,S
0057,0002,ACCESORIO,,S
0109,0001,COLLARES DE POLIESTER SUBLIMADOS,,S
0058,0002,VARITAS,,S
0110,0002,RATITAS,,S
0111,0002,PELOTAS,,S
0112,0002,JUEGOS,,S
0052,0003,JAULAS DE ALAMBRE,,S
0113,0003,JAULAS DE MADERA,,S
0114,0002,FUENTES,,S
0053,0003,COMEDEROS,,S
0116,0003,BEBEDEROS,,S
0031,0001,CADENAS,,S
0117,0001,MOSQUETONES,,S
0015,0005,BOMBAS DE AGUA,,S
0118,0005,AIREADORES,,S
0119,0003,BANERAS,,S
0120,0001,MOCHILAS,,S
0121,0001,BOLSOS,,S
0051,0001,TRANSPORTADORAS,,S
0115,0001,BEBEDERO,,S
0122,0001,RAMPAS,,S
0124,0002,CAT NIP,,S
0125,0002,INTERACTIVO,,S
0126,0002,ARNES Y COLLARES,,S
0104,0007,EXCLUSIVO CANAL VETERINARIO,,S
0127,0001,SHAMPOO Y ENJUAGUE,,S
0035,0001,COMEDEROS Y BEBEDEROS,,S
0128,0001,A - INDUMENTARIA ARGENTINA,,S
0129,0001,B - ESPECIAL PRIMAVERA VERANO,,S
0130,0001,D - INDUMENTARIA,,S
0131,0001,E - MOISES,,S
0132,0001,F - COLCHONETAS,,S
0133,0001,C - MOTOQUEROS,,S
0134,0001,G - ESPECIAL DESCANSO,,S
0135,0001,H - BOLSOS Y MOCHILAS,,S
0136,0001,I - LINEA SALUD,,S
0137,0001,J - CORREAS - COLLARES - PRETALES -TRANSPORTE,,S
0138,0001,K - HIGIENE,,S
0139,0001,L - MUEBLES RASCADORES,,S
0140,0001,M - COMEDEROS BEBEDEROS Y LITERAS,,S
0141,0001,N - PELUQUERIA,,S
0142,0001,AA - KIT ARGENTINA,,S
